order_amount,currency,billing_country,shipping_country,country_mismatch,customer_total_orders,customer_refund_rate,customer_dispute_rate,device_reuse_count,ip_reuse_count,order_velocity_24h,is_fraud
8.3,USD,US,DE,1,5,0.0055,0.0081,1,1,1,0
169.1,EUR,BR,CA,1,7,0.15,0.011,2,0,1,0
178.17,EUR,IN,AU,1,16,0.0629,0.0167,4,1,0,0
33.98,USD,FR,IN,1,5,0.1648,0.0124,1,0,1,0
91.95,CAD,FR,CA,1,8,0.0966,0.0126,3,0,1,0
43.94,USD,NG,BR,1,6,0.039,0.0458,4,0,2,0
69.54,EUR,US,IN,1,10,0.0252,0.0228,3,1,0,0
17.34,USD,IN,GB,1,7,0.1262,0.0167,2,1,2,0
101.75,CAD,CA,CN,1,12,0.0747,0.0378,2,0,1,0
10.58,CAD,US,US,0,6,0.0915,0.0057,2,1,0,0
8.76,GBP,AU,IN,1,7,0.0419,0.0149,3,1,5,0
48.33,GBP,CN,FR,1,10,0.0359,0.0116,2,0,0,0
44.2,GBP,BR,IN,1,9,0.1584,0.0162,1,0,1,0
71.69,USD,BR,BR,0,6,0.0644,0.0127,2,0,4,0
28.52,EUR,BR,IN,1,9,0.0114,0.005,2,0,0,0
359.85,AUD,BR,IN,1,10,0.2189,0.0001,4,0,2,1
64.11,USD,AU,NG,1,19,0.0995,0.004,3,2,2,0
68.92,CAD,GB,BR,1,7,0.1612,0.0181,0,0,0,0
66.5,USD,NG,NG,0,8,0.0815,0.0265,3,2,2,0
148.85,USD,FR,FR,0,3,0.0257,0.0042,2,1,0,0
97.13,EUR,AU,CA,1,8,0.022,0.0002,2,2,3,0
84.95,EUR,DE,CA,1,3,0.0495,0.0384,1,1,2,0
113.98,EUR,GB,IN,1,9,0.0496,0.0272,0,3,0,0
8.81,AUD,CN,AU,1,10,0.0259,0.0037,1,0,0,0
9.14,AUD,BR,US,1,5,0.0438,0.0006,4,1,0,0
50.6,CAD,IN,CA,1,2,0.0251,0.0108,4,2,2,0
44.81,USD,FR,CN,1,5,0.041,0.0235,3,1,2,0
97.5,AUD,NG,BR,1,3,0.1794,0.0364,2,0,1,0
55.7,AUD,AU,BR,1,9,0.0413,0.0052,2,0,1,0
97.7,USD,FR,GB,1,9,0.1077,0.0133,1,3,3,0
15.71,EUR,FR,US,1,7,0.0756,0.0265,3,1,1,0
54.01,CAD,CA,CA,0,5,0.1321,0.0088,2,0,2,0
14.28,USD,US,NG,1,3,0.0614,0.1032,0,1,1,0
80.39,USD,AU,AU,0,9,0.0376,0.022,0,4,1,0
8.35,CAD,NG,BR,1,6,0.1787,0.0003,0,1,0,0
77.35,EUR,US,FR,1,3,0.0691,0.0043,1,0,1,0
12.57,GBP,NG,FR,1,7,0.0769,0.011,0,2,0,0
37.21,CAD,NG,IN,1,4,0.0886,0.04,2,0,1,0
133.61,GBP,CA,CN,1,7,0.0703,0.0018,2,1,1,0
68.54,CAD,IN,FR,1,9,0.0263,0.0054,2,0,2,0
10.53,USD,GB,AU,1,4,0.0019,0.0143,2,1,3,0
27.87,USD,BR,CN,1,11,0.0787,0.0076,4,4,0,0
12.17,EUR,BR,DE,1,17,0.1872,0.0144,2,1,0,0
10.03,EUR,DE,NG,1,3,0.052,0.0372,4,0,0,0
61.42,EUR,US,AU,1,4,0.0668,0.0376,2,2,0,0
95.61,CAD,CN,NG,1,9,0.046,0.0084,2,1,1,0
84.83,USD,FR,FR,0,10,0.0328,0.0438,3,0,1,0
99.75,USD,NG,IN,1,6,0.0853,0.056,1,0,2,0
53.95,EUR,IN,DE,1,13,0.0314,0.0281,2,2,1,0
41.54,EUR,BR,IN,1,9,0.044,0.0014,3,1,0,0
18.67,USD,BR,DE,1,7,0.2165,0.0115,4,1,2,0
35.16,USD,GB,IN,1,12,0.018,0.0011,3,3,2,0
14.57,GBP,DE,BR,1,5,0.1841,0.0001,1,0,0,0
23.45,USD,FR,FR,0,9,0.0583,0.0052,0,3,0,0
59.68,USD,FR,FR,0,7,0.0451,0.0121,5,3,0,0
48.53,AUD,US,DE,1,8,0.1418,0.0096,2,2,0,0
1169.96,USD,AU,BR,1,5,0.0216,0.0105,2,3,1,0
14.21,USD,GB,AU,1,7,0.1203,0.0554,1,1,2,0
48.18,USD,BR,AU,1,7,0.0945,0.0141,1,2,1,0
13.15,GBP,IN,US,1,6,0.1917,0.0497,3,0,4,0
37.05,CAD,CN,GB,1,9,0.0964,0.0115,1,1,2,0
38.59,CAD,BR,US,1,8,0.0582,0.0504,1,2,2,0
127.09,CAD,DE,NG,1,10,0.0285,0.0066,2,2,0,0
