order_amount,currency,billing_country,shipping_country,country_mismatch,customer_total_orders,customer_refund_rate,customer_dispute_rate,device_reuse_count,ip_reuse_count,order_velocity_24h,refund_reason,days_since_purchase,delivery_confirmed,item_category,is_abuse
16.82,AUD,FR,DE,1,16,0.0429,0.0141,1,0,2,changed_mind,15,True,clothing,0
103.44,GBP,CN,CA,1,6,0.0268,0.0131,1,1,2,wrong_item,15,True,beauty,0
75.11,EUR,GB,DE,1,4,0.0915,0.0041,3,1,3,other,14,True,food,0
52.18,EUR,FR,US,1,11,0.1848,0.0712,1,0,2,damaged,12,True,electronics,0
56.31,CAD,US,NG,1,9,0.0427,0.0215,0,0,0,changed_mind,9,True,sports,0
36.95,USD,FR,GB,1,15,0.0897,0.001,3,0,1,wrong_item,17,True,electronics,0
28.56,USD,GB,FR,1,7,0.058,0.0336,3,1,2,wrong_item,6,True,home,0
8.53,GBP,CA,US,1,5,0.0248,0.0075,5,1,1,wrong_item,12,True,sports,0
89.97,GBP,NG,CN,1,5,0.092,0.047,1,1,0,changed_mind,15,True,home,0
78.59,EUR,BR,GB,1,5,0.1671,0.0032,1,2,3,damaged,11,True,clothing,0
19.13,USD,FR,IN,1,14,0.1794,0.003,2,1,1,other,16,True,clothing,0
107.89,AUD,CN,IN,1,8,0.0136,0.0415,1,2,2,damaged,14,True,food,0
25.96,GBP,BR,FR,1,6,0.1347,0.0184,5,0,0,changed_mind,12,True,electronics,0
52.31,AUD,CN,AU,1,11,0.0431,0.0013,1,2,1,wrong_item,14,True,sports,0
425.94,GBP,US,GB,1,2,0.0783,0.0143,3,0,2,changed_mind,11,True,beauty,0
15.74,USD,NG,AU,1,6,0.0775,0.0075,1,0,4,wrong_item,14,True,electronics,0
89.5,EUR,GB,DE,1,10,0.0325,0.0051,4,1,2,not_as_described,15,False,food,1
155.16,CAD,IN,US,1,9,0.1856,0.0152,2,0,1,wrong_item,15,True,clothing,1
42.64,USD,NG,GB,1,15,0.2392,0.0081,1,1,2,wrong_item,14,True,home,0
280.25,AUD,IN,US,1,8,0.1278,0.0075,5,1,0,not_as_described,14,True,clothing,0
43.09,GBP,BR,CA,1,8,0.2141,0.005,2,0,2,other,13,True,home,0
88.77,USD,US,AU,1,6,0.172,0.0697,1,2,0,wrong_item,17,True,beauty,0
23.62,AUD,FR,IN,1,5,0.0206,0.0223,4,0,1,changed_mind,20,True,beauty,0
88.78,AUD,IN,BR,1,13,0.0247,0.0065,0,1,1,other,10,True,electronics,0
47.06,USD,DE,DE,0,8,0.061,0.0086,3,0,4,damaged,13,False,electronics,0
96.29,EUR,IN,NG,1,12,0.1161,0.0201,1,2,0,other,14,True,clothing,0
50.63,GBP,CA,AU,1,4,0.089,0.0393,1,0,2,wrong_item,10,True,electronics,0
13.59,AUD,CA,AU,1,15,0.1465,0.055,1,2,1,wrong_item,19,True,electronics,0
17.28,CAD,NG,BR,1,6,0.0478,0.0255,3,1,1,damaged,21,True,food,0
96.09,EUR,IN,CN,1,9,0.1282,0.0019,2,1,0,damaged,14,True,sports,0
31.92,CAD,BR,CN,1,9,0.1559,0.0378,1,2,1,wrong_item,10,False,clothing,0
30.57,GBP,CA,IN,1,7,0.0554,0.0119,1,2,1,not_as_described,16,True,clothing,0
12.5,EUR,AU,FR,1,10,0.0568,0.0294,4,2,4,damaged,17,True,food,0
7.82,USD,NG,GB,1,5,0.0977,0.0431,2,0,0,changed_mind,18,True,home,0
101.21,EUR,BR,BR,0,6,0.0504,0.045,5,1,4,wrong_item,10,False,clothing,0
168.13,AUD,DE,US,1,3,0.0594,0.0002,0,2,3,changed_mind,12,True,beauty,0
99.59,GBP,CA,FR,1,8,0.0846,0.0632,0,2,3,wrong_item,10,True,sports,0
30.28,GBP,US,GB,1,12,0.0193,0.0227,1,0,2,not_as_described,7,True,electronics,0
114.63,EUR,US,NG,1,7,0.1529,0.0312,4,2,2,changed_mind,15,False,home,0
68.24,EUR,BR,GB,1,8,0.0509,0.001,2,0,3,not_as_described,11,False,food,0
41.09,GBP,NG,FR,1,9,0.1754,0.0322,1,1,2,changed_mind,16,True,home,0
27.76,USD,IN,AU,1,14,0.101,0.0134,2,3,0,not_as_described,10,True,sports,0
46.87,AUD,CN,CA,1,9,0.0856,0.0079,2,0,2,damaged,23,True,sports,0
13.74,CAD,CA,BR,1,9,0.0929,0.0123,2,0,2,changed_mind,16,True,food,0
42.75,CAD,CA,FR,1,7,0.0701,0.0076,3,2,2,changed_mind,12,True,home,0
133.75,AUD,CN,BR,1,12,0.2017,0.0034,0,2,1,wrong_item,8,True,electronics,0
201.87,CAD,BR,GB,1,8,0.0237,0.0087,2,1,2,other,17,True,sports,0
55.79,AUD,NG,GB,1,12,0.1002,0.0136,4,0,1,other,11,False,beauty,0
60.9,USD,US,BR,1,8,0.127,0.0035,2,1,1,changed_mind,19,True,electronics,0
295.4,GBP,CA,DE,1,7,0.0171,0.004,1,1,1,damaged,16,True,home,0
88.03,USD,NG,GB,1,5,0.0504,0.0025,4,1,0,damaged,13,False,beauty,0
78.24,USD,CA,IN,1,8,0.1703,0.0137,2,2,2,not_as_described,17,True,food,0
112.11,EUR,BR,FR,1,9,0.0313,0.0251,3,1,2,other,10,True,beauty,0
47.76,EUR,IN,BR,1,8,0.0482,0.0044,0,3,0,wrong_item,13,True,sports,0
403.92,AUD,AU,IN,1,11,0.0398,0.0028,3,2,0,damaged,11,True,home,0
86.74,AUD,NG,AU,1,12,0.0709,0.0498,2,1,2,not_as_described,16,False,sports,0
267.29,EUR,IN,CA,1,8,0.0156,0.0263,3,0,2,changed_mind,13,True,electronics,0
40.98,CAD,GB,GB,0,5,0.1518,0.0074,3,1,1,damaged,5,True,home,0
