order_amount,currency,billing_country,shipping_country,country_mismatch,customer_total_orders,customer_refund_rate,customer_dispute_rate,device_reuse_count,ip_reuse_count,order_velocity_24h,is_returned
55.86,GBP,IN,GB,1,6,0.0462,0.0108,4,1,1,0
42.79,GBP,AU,CA,1,9,0.0444,0.0304,2,0,4,0
256.13,USD,GB,DE,1,6,0.0541,0.09,0,2,4,1
168.67,USD,US,GB,1,12,0.0574,0.0646,3,0,1,0
7.01,EUR,AU,US,1,8,0.0329,0.0381,0,1,1,0
326.53,USD,IN,CA,1,5,0.0645,0.0267,5,0,1,0
704.19,EUR,GB,BR,1,8,0.022,0.0052,2,1,1,0
5.1,CAD,US,NG,1,7,0.2065,0.0271,4,1,1,0
12.13,CAD,NG,BR,1,9,0.0721,0.0016,4,0,4,1
63.88,GBP,BR,CN,1,9,0.081,0.0031,1,2,2,0
51.24,EUR,IN,FR,1,7,0.094,0.0051,1,0,2,0
16.9,CAD,CN,NG,1,8,0.216,0.0665,1,2,1,0
86.61,EUR,CA,BR,1,6,0.0541,0.0231,1,1,0,0
156.74,AUD,BR,BR,0,7,0.1331,0.0558,3,1,2,0
20.94,AUD,NG,FR,1,4,0.0497,0.0013,2,0,3,0
15.85,AUD,DE,US,1,13,0.0682,0.006,2,2,1,0
166.34,EUR,CA,AU,1,8,0.1093,0.0268,0,0,1,1
45.77,GBP,FR,NG,1,7,0.1009,0.0252,4,0,1,0
251.11,USD,FR,BR,1,1,0.0413,0.0001,1,2,2,1
84.77,EUR,US,CA,1,9,0.1593,0.0006,3,1,2,0
48.43,EUR,AU,US,1,5,0.1177,0.021,5,1,1,0
11.54,EUR,US,CA,1,11,0.0286,0.0172,3,2,2,1
55.02,GBP,GB,IN,1,10,0.0149,0.0024,2,2,3,0
98.81,USD,US,DE,1,4,0.1549,0.0003,0,1,3,0
20.32,USD,BR,US,1,8,0.0055,0.0398,4,1,1,0
5.14,USD,FR,AU,1,8,0.2207,0.0007,4,1,3,0
44.47,AUD,DE,NG,1,8,0.1368,0.013,0,1,1,0
53.42,AUD,AU,DE,1,10,0.0478,0.0058,2,2,2,0
10.59,GBP,US,IN,1,6,0.047,0.0103,1,2,0,0
1003.18,GBP,NG,NG,0,6,0.0202,0.0102,1,1,2,0
271.82,GBP,NG,CA,1,7,0.0615,0.0083,0,0,3,0
78.9,AUD,CN,CN,0,8,0.1874,0.0595,2,0,0,0
64.1,USD,GB,FR,1,11,0.0816,0.0,1,1,1,0
33.44,AUD,AU,AU,0,12,0.1052,0.0044,2,1,0,0
249.49,AUD,DE,CN,1,12,0.0427,0.0419,0,1,3,0
46.17,AUD,IN,CN,1,9,0.0449,0.0065,1,1,1,0
29.46,CAD,AU,CA,1,9,0.0633,0.0363,0,0,2,1
30.02,USD,GB,CA,1,4,0.1252,0.0063,3,0,0,0
19.87,USD,US,FR,1,10,0.0493,0.0606,1,1,0,0
6.16,EUR,CN,CN,0,8,0.0242,0.0551,1,2,3,1
154.14,EUR,CA,DE,1,7,0.0677,0.0242,1,5,2,0
17.26,EUR,AU,NG,1,8,0.0145,0.0086,4,1,2,0
10.06,EUR,NG,IN,1,6,0.0363,0.0003,1,0,0,0
10.91,GBP,US,US,0,8,0.0143,0.0092,1,0,1,0
15.19,GBP,BR,FR,1,6,0.0289,0.0456,2,1,3,0
293.22,CAD,CA,US,1,11,0.0632,0.0027,2,0,2,0
20.68,EUR,FR,CA,1,12,0.1523,0.0009,2,2,1,0
45.53,CAD,BR,GB,1,6,0.0411,0.0037,1,1,1,0
16.87,AUD,CN,DE,1,6,0.0775,0.0094,3,2,2,0
45.64,CAD,DE,US,1,3,0.1642,0.0455,2,0,1,0
33.89,CAD,CN,DE,1,9,0.0313,0.0064,2,0,4,0
28.19,USD,IN,CA,1,6,0.081,0.0096,0,1,0,0
55.51,AUD,AU,IN,1,11,0.0586,0.0089,2,1,1,0
20.94,GBP,CA,CN,1,3,0.1816,0.0381,1,0,1,0
32.34,EUR,CA,GB,1,7,0.1042,0.0004,3,1,1,0
132.43,CAD,US,BR,1,13,0.0811,0.0135,0,1,2,0
41.36,CAD,US,US,0,9,0.0546,0.0093,0,2,1,0
34.95,USD,DE,CN,1,11,0.0561,0.0271,0,4,4,0
10.85,EUR,BR,DE,1,5,0.0813,0.0373,0,0,1,0
36.01,CAD,AU,NG,1,9,0.094,0.0174,1,2,1,0
38.28,EUR,IN,US,1,12,0.1074,0.0654,3,1,1,0
52.55,GBP,NG,DE,1,9,0.064,0.0405,2,0,4,0
185.62,AUD,AU,US,1,8,0.0808,0.0309,1,0,1,0
84.23,GBP,CA,DE,1,8,0.038,0.0053,3,1,1,0
13.68,GBP,DE,US,1,4,0.1171,0.0089,3,0,0,0
61.55,EUR,BR,IN,1,7,0.0783,0.0041,1,0,1,0
53.33,GBP,US,US,0,10,0.143,0.0049,3,2,0,0
260.41,USD,CA,CA,0,12,0.0524,0.0099,0,0,0,0
58.2,CAD,CA,BR,1,13,0.0302,0.0131,3,3,1,0
101.34,EUR,DE,NG,1,11,0.0998,0.0014,1,0,2,0
120.25,GBP,CN,NG,1,9,0.0938,0.0032,3,2,1,0
210.4,GBP,US,AU,1,8,0.0428,0.0315,2,1,2,0
19.9,EUR,AU,DE,1,8,0.0161,0.0327,3,1,4,0
26.49,EUR,US,CA,1,9,0.1342,0.009,0,0,1,0
38.08,EUR,CA,GB,1,8,0.0319,0.0047,3,0,2,0
29.74,EUR,AU,IN,1,6,0.1449,0.0378,1,1,1,0
127.27,EUR,CN,FR,1,3,0.1508,0.0349,1,0,0,0
26.97,AUD,BR,BR,0,7,0.0959,0.0055,0,0,2,0
38.9,EUR,BR,CA,1,7,0.048,0.0622,2,1,5,0
32.61,EUR,FR,BR,1,8,0.1772,0.0299,3,0,2,0
76.28,AUD,FR,FR,0,15,0.1823,0.0276,7,0,0,0
71.18,USD,FR,CA,1,13,0.0148,0.0115,1,1,0,0
35.52,EUR,DE,IN,1,7,0.0613,0.0244,0,2,1,0
160.89,GBP,GB,CN,1,5,0.0759,0.0239,2,1,2,0
96.88,EUR,NG,NG,0,12,0.0111,0.0053,5,2,2,0
8.06,GBP,CA,GB,1,13,0.2623,0.0309,3,2,0,0
169.02,CAD,CN,DE,1,10,0.0497,0.0001,0,1,1,0
39.58,EUR,BR,AU,1,11,0.0659,0.0091,3,2,2,0
101.76,AUD,US,BR,1,7,0.0065,0.0009,6,1,2,0
340.09,EUR,NG,DE,1,6,0.0827,0.0254,2,2,3,0
14.07,GBP,NG,AU,1,5,0.0553,0.0206,1,4,2,0
322.79,USD,IN,CA,1,8,0.0968,0.0209,1,0,2,0
74.22,CAD,FR,CN,1,9,0.0557,0.0016,5,1,2,0
229.21,EUR,US,CA,1,9,0.105,0.0075,0,0,1,0
68.91,GBP,NG,CN,1,9,0.0577,0.0238,2,3,2,0
18.65,AUD,CA,CA,0,7,0.0542,0.0292,0,0,2,0
15.82,USD,DE,IN,1,9,0.1498,0.018,1,1,1,0
95.14,EUR,GB,US,1,5,0.0772,0.0202,1,1,1,0
69.01,AUD,US,CA,1,12,0.0364,0.0173,3,3,0,0
115.26,EUR,DE,FR,1,8,0.0594,0.0039,1,0,0,0
212.61,AUD,FR,CN,1,4,0.0579,0.0132,2,3,2,0
15.96,EUR,DE,GB,1,2,0.2216,0.0194,1,4,3,0
38.3,USD,IN,FR,1,9,0.0609,0.01,2,0,0,0
182.38,CAD,NG,IN,1,4,0.0583,0.0092,3,0,1,0
245.01,AUD,NG,NG,0,8,0.1354,0.0157,1,1,0,1
17.44,AUD,AU,NG,1,15,0.0162,0.0124,0,2,0,0
119.51,AUD,DE,IN,1,4,0.1071,0.012,0,0,2,0
145.58,AUD,GB,GB,0,4,0.052,0.0108,1,3,0,0
36.39,GBP,IN,CA,1,8,0.1268,0.0464,2,0,2,0
71.57,GBP,FR,AU,1,9,0.2034,0.008,2,0,1,0
56.4,GBP,US,BR,1,5,0.0238,0.0093,2,1,1,0
57.59,AUD,DE,CN,1,5,0.0698,0.0117,1,1,1,0
20.32,GBP,DE,DE,0,6,0.194,0.0592,2,0,1,0
23.01,USD,US,IN,1,7,0.136,0.0111,3,2,2,0
42.48,CAD,GB,CA,1,8,0.1636,0.0388,4,0,0,0
44.61,CAD,BR,CN,1,9,0.268,0.0051,1,2,2,0
11.13,EUR,BR,GB,1,10,0.0382,0.0165,0,2,0,0
62.36,AUD,NG,CN,1,7,0.1725,0.0383,1,0,3,0
26.13,EUR,BR,DE,1,15,0.0776,0.0172,2,0,2,0
29.98,GBP,CA,BR,1,7,0.1569,0.0043,4,0,1,0
59.92,EUR,DE,CA,1,7,0.0542,0.0291,3,1,0,0
77.35,CAD,GB,BR,1,7,0.086,0.0626,6,0,3,0
59.73,EUR,DE,GB,1,8,0.0068,0.0023,3,1,0,1
189.01,GBP,DE,NG,1,9,0.1885,0.004,1,1,1,0
46.94,USD,FR,NG,1,9,0.2552,0.0281,3,1,3,0
25.42,USD,BR,NG,1,8,0.0528,0.0018,1,1,0,1
197.03,CAD,IN,NG,1,10,0.0485,0.0397,2,0,3,1
81.6,CAD,FR,AU,1,5,0.119,0.0041,1,2,0,0
172.33,USD,CN,US,1,5,0.1038,0.0087,1,0,1,1
21.85,GBP,FR,US,1,9,0.0235,0.0238,1,0,2,0
73.91,USD,FR,CN,1,7,0.0753,0.003,3,0,0,0
15.1,AUD,CN,BR,1,7,0.1421,0.0437,1,1,1,1
53.12,GBP,AU,DE,1,12,0.1185,0.0139,3,2,4,1
251.74,USD,GB,FR,1,3,0.0843,0.0502,2,1,3,0
103.51,AUD,FR,NG,1,11,0.1686,0.0145,4,1,2,0
41.65,AUD,AU,CA,1,9,0.1182,0.0545,2,0,1,0
42.06,GBP,NG,US,1,10,0.0447,0.0445,0,1,1,0
324.66,USD,IN,DE,1,7,0.1128,0.058,2,2,2,0
28.62,EUR,GB,NG,1,4,0.1186,0.0224,2,0,2,0
36.34,AUD,AU,US,1,3,0.0608,0.0173,3,2,0,1
24.51,GBP,CA,BR,1,7,0.0297,0.0529,5,0,2,0
478.59,GBP,CN,GB,1,1,0.0844,0.0185,4,1,2,0
7.93,CAD,US,CA,1,11,0.089,0.0035,2,0,3,0
180.38,EUR,IN,AU,1,13,0.0689,0.0086,4,1,3,0
62.8,CAD,DE,GB,1,4,0.1577,0.0031,4,1,1,0
74.45,USD,FR,CN,1,6,0.0452,0.0109,1,1,3,0
